Largura:100  Altura:100 
Ofsset para os pixels: 138
Numero de compressao: 0
ponto final = 30140 
Pos: 1493 ------- Red: 255, Green: 0, Blue: 0
Pos: 1496 ------- Red: 255, Green: 0, Blue: 0
Pos: 1499 ------- Red: 255, Green: 0, Blue: 0
Pos: 1502 ------- Red: 255, Green: 0, Blue: 0
Pos: 1505 ------- Red: 255, Green: 0, Blue: 0
Pos: 1508 ------- Red: 255, Green: 0, Blue: 0
Pos: 1511 ------- Red: 255, Green: 0, Blue: 0
Pos: 1514 ------- Red: 255, Green: 0, Blue: 0
Pos: 1517 ------- Red: 255, Green: 0, Blue: 0
Pos: 1520 ------- Red: 255, Green: 0, Blue: 0
Pos: 1523 ------- Red: 255, Green: 0, Blue: 0
Pos: 1526 ------- Red: 255, Green: 0, Blue: 0
Pos: 1529 ------- Red: 255, Green: 0, Blue: 0
Pos: 1532 ------- Red: 255, Green: 0, Blue: 0
Pos: 1535 ------- Red: 255, Green: 0, Blue: 0
Pos: 1538 ------- Red: 255, Green: 0, Blue: 0
Pos: 1541 ------- Red: 255, Green: 0, Blue: 0
Pos: 1544 ------- Red: 255, Green: 0, Blue: 0
